Category,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026
Travel,12213.38,16460.37,15877.26,27302.97,13291.88,19989.54,33583.26,28917.03
Trip,0.0,722318.63,-67871.45,-174432.0,-10229.0,0.0,0.0,49986.0
Shopping,7810.0,16448.1,10615.82,24219.82,26815.99,4271.0,12740.2,50788.06
Baby,7708.11,5599.28,25304.93,2380.43,1049.75,750.0,12768.99,-1657.17
Outside Food,9456.09,7581.5,12117.49,20251.55,16880.79,11229.99,19412.15,17512.0
Grocery,2538.82,4517.97,4743.42,3379.1,3186.82,3515.49,7448.59,8306.04
Utilities & Bills,11462.0,33207.0,12566.0,21311.0,12317.0,37663.0,11667.0,97758.06
"Health, Fitness & Self Care",25510.0,18315.0,2455.0,4418.7,2274.0,630.0,2456.0,1230.0
Upskill / AI,2570.08,2545.3,2569.79,399.0,42608.26,11023.68,13300.17,4912.09
Rohan,24270.87,18880.28,31385.4,32423.09,55448.93,1053.07,-43.76,17771.29
Papa,0.0,0.0,0.0,0.0,0.0,12500.0,10623.9,902.0
One-Time Expense,0.0,25849.0,0.0,4968.0,99711.0,12663.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,244247.0,550000.0
Tax,0.0,0.0,30254.88,296.01,194.97,-2079.04,49600.0,0.0
Others,6308.28,20326.27,5872.42,4267.48,528.83,3663.45,2899.81,980.23
Total,110353.44,892442.17,86545.04,-28139.14,265234.79,116895.13,420702.4,827775.99
